generation,score,sentence,color
0,0.6808076848165219,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
0,0.6807320936441578,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
0,0.6806384846537634,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
0,0.6804785858504117,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
0,0.6804560798202108,Improve a tone and thine crafted touch of the text as it and with lay the the with what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
1,0.6809050223974428,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
1,0.6808076848165218,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
1,0.6807320936441578,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
1,0.6806384846537634,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
1,0.6806341946648976,Improve a tone and thine crafted touch of the text as it and with lay the the with what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
2,0.6809050218341838,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
2,0.6808076848165218,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
2,0.6808059086608357,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
2,0.6807320936441578,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
2,0.6806384846537634,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
3,0.6809050218341839,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
3,0.6808076848165218,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
3,0.6808059086608357,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
3,0.6807320936441578,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
3,0.6806619005605669,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
4,0.6809050218341841,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
4,0.6808076848165215,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
4,0.6808059086608353,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
4,0.6807320936441578,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
4,0.680661900560567,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
5,0.6809050218341839,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
5,0.680807684816522,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
5,0.6808059043437231,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
5,0.6807320936441578,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
5,0.680661900560567,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.1631485366792561, 0.5181890767083299, 0.981733400446341)"
