,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
1,this to be more engaging and authentic.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
21,on the context.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
23,a word by making the characters in the passage more attached to them.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
27,these sentences to make them more admirable.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
31,a punctuation mark.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
33,the text into an alliterative passage.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
38,the text to include more descriptive language.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
45,"this as if it were an explanation to assist her with her strategies, and omit any vague desires.",0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
55,a sentence from the text in simpler English where the connection is emphasized more.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
69,the exclusion or legend to enhance clarity and excitement.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
72,this sentence.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
79,this discussion to make it more coherent.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
86,this text to improve its English fluency.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
87,this sentence to be stricken.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
96,"the text into a data analysis, maintaining the writing style akin to a recollection of a fond memory from my father in a concise manner.",0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
103,a passage in the story from the perspective of an owl to be more concise and straightforward.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
104,the entire text to a more serious and insightful tone in order to uncover the true meaning behind the words.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
112,a punctuation mark.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
116,this into a text focusing more on natural elements.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
119,moral support and encouragement for the consumption of alcoholic beverages.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
122,transform this text figuratively to align closely with Mrs. interests.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
124,improve this by conveying the leisurely brush-strokes of Nancy's sincerity as her efforts to be authentic stand out.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
129,it to be shorter.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
135,the passage to be more concise.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
136,a line on ergonomics and color.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
147,"this piece to make it more direct and eliminate any references to the previous company, and her hand showed signs of irritation.",0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
150,a charter from a modernized perspective focusing on construction and development.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
163,it to make it more understandable for casual observers so they can provide assistance.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
167,a backup from the Quaternary era using simpler language.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
188,this text to transform it into a straight line of magical realism short story.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
190,the text of a civilization series to add more intrigue without losing the motivational tone.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
199,"rephrase ""convey deep emotions in a succinct manner.""",0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
218,this sentence to be more descriptive of the jungle setting.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
219,the story by making significant improvements to correct the flaws in it.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
222,the text to make it sound more authentic and capture the essence of the ink-stone's muscular stiffness.,0,0_text_make_sentence_concise,"['text', 'make', 'sentence', 'concise', 'passage', 'improve', 'punctuation', 'text make', 'words', 'story']","['this to make it more concise.', 'it to ""Edit the text to make it more concise.""', 'a passage of text to make it more concise.']",text - make - sentence - concise - passage - improve - punctuation - text make - words - story,False
