,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
3,covertly appreciate this edit.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
8,the wording: Make the old red as gentle as pearls.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
12,it rigorously.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
19,this passage into a cheerful tone. Rewrite it as a series of poetry that celebrates the beauty of the unprotected comments.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
24,this using John and his subtle comment.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
26,a dialogue to a more formal format.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
35,this content to reflect a more sophisticated tone reminiscent of British English.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
36,this information about nature.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
42,"this as an etiquette guide for modern children: ""Rewrite this as if you were happily tired.""",1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
49,"this to: ""Dark silk stockings make for a more formal look. Capitalize every noun and provide descriptions for each caption about a bottle.""",1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
52,"this dystopian future in a more casual, conversational style.",1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
54,a feather.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
63,to a lighter tone.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
67,the informal agreement to one that is appropriate for sitting in the somber and dimly lit crypt while recounting the tale.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
81,this into a feel-good piece with an informal tone.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
82,the text to emphasize the gentle nature of the trees.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
94,this by using formal language and mention the gun and beautiful vine.,1,1_tone_formal_casual_using,"['tone', 'formal', 'casual', 'using', 'description', 'formal tone', 'touch', 'make', 'lively', 'text']","['the formal tone.', 'it for a more formal tone.', 'the tone.']",tone - formal - casual - using - description - formal tone - touch - make - lively - text,False
