generation,score,sentence,color
0,0.680807684816522,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
0,0.6807320936441578,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
0,0.6806384846537635,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
0,0.6804785858504115,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
0,0.680456079820211,Improve a tone and thine crafted touch of the text as it and with lay the the with what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
1,0.6809050223974428,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
1,0.6808076848165215,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
1,0.6807320936441577,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
1,0.6806384846537634,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
1,0.680634179684918,Improve a tone and thine crafted touch of the text as it and with lay the the with what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
2,0.6809050218341838,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
2,0.6808076848165218,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
2,0.6808059086608356,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
2,0.6807320936441578,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
2,0.6806384846537635,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
3,0.6809050218341838,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
3,0.6808076848165219,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
3,0.6808059086608356,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
3,0.6807320936441577,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
3,0.6806619005605669,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
4,0.6809050218341841,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
4,0.6808076848165218,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is of express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
4,0.6808059086608353,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
4,0.6807320936441577,Improve a tone and thine crafted touch of the text as it and with lay the the with an what instead nw do if done for merrily known what reaches of of of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
4,0.680661897905216,Improve a tone and thine crafted touch of the text as it and with lay the with an what instead nw do if done for merrily known what reaches of of of of place through including a an being the from or now in is express ya rewrite this,"(0.8119662532452065, 0.4618411188186825, 0.32154107539552146)"
