,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
43,a Shakespearean sonnet rewrite the _rewrite_.,8,8_song_poem_shakespearean_sonnet,"['song', 'poem', 'shakespearean', 'sonnet', 'poet', 'blues song', 'blues', 'soliloquy', 'shakespearean soliloquy', 'text']","['a Shakespearean sonnet.', 'a blues song lyric.', 'it into a love in 15 words: Rewrite the text as a sonnet. Mentor and curses: Rewrite this as a Shakespearean soliloquy.']",song - poem - shakespearean - sonnet - poet - blues song - blues - soliloquy - shakespearean soliloquy - text,False
61,rewrite the essay as a poem.,8,8_song_poem_shakespearean_sonnet,"['song', 'poem', 'shakespearean', 'sonnet', 'poet', 'blues song', 'blues', 'soliloquy', 'shakespearean soliloquy', 'text']","['a Shakespearean sonnet.', 'a blues song lyric.', 'it into a love in 15 words: Rewrite the text as a sonnet. Mentor and curses: Rewrite this as a Shakespearean soliloquy.']",song - poem - shakespearean - sonnet - poet - blues song - blues - soliloquy - shakespearean soliloquy - text,False
102,this as if you were a renowned poet laureate.,8,8_song_poem_shakespearean_sonnet,"['song', 'poem', 'shakespearean', 'sonnet', 'poet', 'blues song', 'blues', 'soliloquy', 'shakespearean soliloquy', 'text']","['a Shakespearean sonnet.', 'a blues song lyric.', 'it into a love in 15 words: Rewrite the text as a sonnet. Mentor and curses: Rewrite this as a Shakespearean soliloquy.']",song - poem - shakespearean - sonnet - poet - blues song - blues - soliloquy - shakespearean soliloquy - text,False
118,this text as a heartfelt story about a country singer who had been misunderstood.,8,8_song_poem_shakespearean_sonnet,"['song', 'poem', 'shakespearean', 'sonnet', 'poet', 'blues song', 'blues', 'soliloquy', 'shakespearean soliloquy', 'text']","['a Shakespearean sonnet.', 'a blues song lyric.', 'it into a love in 15 words: Rewrite the text as a sonnet. Mentor and curses: Rewrite this as a Shakespearean soliloquy.']",song - poem - shakespearean - sonnet - poet - blues song - blues - soliloquy - shakespearean soliloquy - text,False
158,a critique of a very traditional sonnet.,8,8_song_poem_shakespearean_sonnet,"['song', 'poem', 'shakespearean', 'sonnet', 'poet', 'blues song', 'blues', 'soliloquy', 'shakespearean soliloquy', 'text']","['a Shakespearean sonnet.', 'a blues song lyric.', 'it into a love in 15 words: Rewrite the text as a sonnet. Mentor and curses: Rewrite this as a Shakespearean soliloquy.']",song - poem - shakespearean - sonnet - poet - blues song - blues - soliloquy - shakespearean soliloquy - text,False
203,the text into a jazz song.,8,8_song_poem_shakespearean_sonnet,"['song', 'poem', 'shakespearean', 'sonnet', 'poet', 'blues song', 'blues', 'soliloquy', 'shakespearean soliloquy', 'text']","['a Shakespearean sonnet.', 'a blues song lyric.', 'it into a love in 15 words: Rewrite the text as a sonnet. Mentor and curses: Rewrite this as a Shakespearean soliloquy.']",song - poem - shakespearean - sonnet - poet - blues song - blues - soliloquy - shakespearean soliloquy - text,False
220,this text into a beatnik-style poetry performance.,8,8_song_poem_shakespearean_sonnet,"['song', 'poem', 'shakespearean', 'sonnet', 'poet', 'blues song', 'blues', 'soliloquy', 'shakespearean soliloquy', 'text']","['a Shakespearean sonnet.', 'a blues song lyric.', 'it into a love in 15 words: Rewrite the text as a sonnet. Mentor and curses: Rewrite this as a Shakespearean soliloquy.']",song - poem - shakespearean - sonnet - poet - blues song - blues - soliloquy - shakespearean soliloquy - text,False
253,a poem.,8,8_song_poem_shakespearean_sonnet,"['song', 'poem', 'shakespearean', 'sonnet', 'poet', 'blues song', 'blues', 'soliloquy', 'shakespearean soliloquy', 'text']","['a Shakespearean sonnet.', 'a blues song lyric.', 'it into a love in 15 words: Rewrite the text as a sonnet. Mentor and curses: Rewrite this as a Shakespearean soliloquy.']",song - poem - shakespearean - sonnet - poet - blues song - blues - soliloquy - shakespearean soliloquy - text,False
274,rewrite this as a folk tune.,8,8_song_poem_shakespearean_sonnet,"['song', 'poem', 'shakespearean', 'sonnet', 'poet', 'blues song', 'blues', 'soliloquy', 'shakespearean soliloquy', 'text']","['a Shakespearean sonnet.', 'a blues song lyric.', 'it into a love in 15 words: Rewrite the text as a sonnet. Mentor and curses: Rewrite this as a Shakespearean soliloquy.']",song - poem - shakespearean - sonnet - poet - blues song - blues - soliloquy - shakespearean soliloquy - text,False
286,revise the poet laureate in a series of the others.,8,8_song_poem_shakespearean_sonnet,"['song', 'poem', 'shakespearean', 'sonnet', 'poet', 'blues song', 'blues', 'soliloquy', 'shakespearean soliloquy', 'text']","['a Shakespearean sonnet.', 'a blues song lyric.', 'it into a love in 15 words: Rewrite the text as a sonnet. Mentor and curses: Rewrite this as a Shakespearean soliloquy.']",song - poem - shakespearean - sonnet - poet - blues song - blues - soliloquy - shakespearean soliloquy - text,False
