,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
57,"the text, please.",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,True
62,all adjectives from the text in the two minutes before you.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
80,a citation into an accurate and properly formatted reference.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
88,certain parts of the text for emphasis in key moments while maintaining clarity and strength.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
97,"the description of the text ""The mountain waterfall thundered with a sharp crack, creating a ten-mile wide front of coarse-grained dust in this adventurous rewrite.""",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
107,the focus of the text to reflect the reality and delve into the issue of their impact on the neck and finances.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
126,this sentence to make it meaningful: A lively youngster copied a good professor alive.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
141,amplify the intensity of the voice in the text.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
149,describe how bravery can be seen as a lecture.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
152,the guidelines for a memoir on ancient sage wisdom to focus on principles.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
