generation,score,sentence,color
0,0.5379429085194644,Rephrase.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
0,0.5247439431880868,Hi reconstruct this.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
0,0.5195057236312093,Hi edit this.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
0,0.5179870656052067,Hi ground rephrase.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
0,0.5102756382243665,Hi lens rephrase.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
1,0.5757754570010034,Hi reconstruct this paragraph.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
1,0.5734228212523761,Rephrase something,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
1,0.5700792949710438,Hi reconstruct this text.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
1,0.5688820177358117,Hi reconstruct this etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
1,0.5681166298581446,Rephrase essay,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
2,0.5898173046919464,Hi reconstruct this improve etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
2,0.5866716923811507,Hi reconstruct this improve text.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
2,0.5850874359718342,Improvement reconstruct this text.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
2,0.5808380545901118,Rephrase text as something,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
2,0.5795398015051217,Rephrase contents,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
3,0.6053573240459205,Improvement this text.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
3,0.5988170783914597,Hi reconstruct this piece improve text.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
3,0.596590773943404,Hi reconstruct this piece improve etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
3,0.5961240729178111,Hi reconstruct this improve etext forth,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
3,0.59596221386338,Hi reconstruct this improve its etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
4,0.6054494220470159,Hi reconstruct this improve its wording; etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
4,0.6053573324548196,Improvement this text.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
4,0.602815660222264,Hi make this piece improve text.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
4,0.6028117944809985,Hi reconstruct this piece to improve etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
4,0.6025557887973707,Hi reconstruct this a piece improve etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
5,0.6129569016350493,Hi reconstruct this piece improve its wording; etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
5,0.6092792982990931,Hi reconstruct this make improve its wording; etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
5,0.6079733309092015,Hi reconstruct this a piece improve worded as etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
5,0.6072860890107232,Hi reconstruct this a human piece improve etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
5,0.6072295781129268,Hi reconstruct this wording improve its; etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
6,0.6174204997643428,Hi reconstruct this piece improve its wording; thine change etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
6,0.6172544256354783,Hi reconstruct this make piece improve its wording; etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
6,0.6156073984114809,Hi reconstruct this a piece improve etext as worded.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
6,0.615502528513058,Hi reconstruct this a human piece improve its etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
6,0.6154151269474303,Hi reconstruct this piece wording improve its; etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
7,0.6213280680454337,Hi reconstruct this piece improve its wording; thine change for etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
7,0.6210837854011799,Hi reconstruct this make part of piece improve its wording; etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
7,0.6208127615216688,Hi reconstruct this piece improve its wording; thine change with etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
7,0.6207497029472324,Hi reconstruct this make piece improve its wording; thine change etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
7,0.6203938186612441,Hi reconstruct this character of piece improve its wording; thine change etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
8,0.6251873272388497,Hi reconstruct this make piece improve undertone of its wording; thine change etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
8,0.6242248263178304,Hi reconstruct this make character of piece improve its wording; thine change etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
8,0.6242058834041506,Hi reconstruct this piece character of improve its wording; thine change etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
8,0.6241647569574065,Hi reconstruct this make piece improve its wording; thine change with etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
8,0.624114717918839,Hi reconstruct this make meant to piece improve its wording; thine change etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
9,0.6272680214031723,Hi reconstruct this make piece improve undertone of its wording; thine change with etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
9,0.6272578192077516,Hi reconstruct this for make piece improve undertone of its wording; thine change etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
9,0.6270332028205923,Hi reconstruct this make meant to piece improve its wording; thine change with etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
9,0.6270093800187285,Hi reconstruct this make character of piece improve its wording; thine change for etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
9,0.6269963136815552,Hi reconstruct this piece character of improve its wording; thine change for etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
10,0.6311648524610677,Hi reconstruct this piece character of improve its wording; thine change surface of for etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
10,0.6299638815420936,Hi reconstruct this for an make piece improve undertone of its wording; thine change etext.,"(0.1643633511865369, 0.685736170207678, 0.09053389457258842)"
