generation,score,sentence,color
0,0.6872266613978857,Indicate an reconstruct this this for an ventured piece to sit certitude in with that improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
0,0.6871016339816198,Indicate an reconstruct this for an ventured piece to sit certitude in with that improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
0,0.6870340953595833,Indicate an reconstruct this this for an ventured piece to sit certitude in with improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
0,0.687004078154289,Indicate an reconstruct this this for an ventured piece to sit certitude in with that a improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
0,0.6869242177512064,Indicate an reconstruct this this for an ventured piece to sit certitude in with that improve and dear yet reasonable way to actually give more undertone what the has the of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
0,0.686871994711018,Indicate an reconstruct this this for an ventured piece to sit certitude with that in improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
0,0.6868642401535339,Indicate an reconstruct this this for an ventured piece to sit certitude in with that improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- such from their compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
0,0.6868330060261978,Indicate an reconstruct this this for an ventured piece to sit certitude in with that improve and dear yet reasonable way actually to give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
0,0.6868111576265297,Indicate an reconstruct this this for an ventured piece to sit certitude in with improve that and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
0,0.6867892061600801,Indicate an reconstruct this for an this ventured piece to sit certitude in with that improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
1,0.6872266613978857,Indicate an reconstruct this this for an ventured piece to sit certitude in with that improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
1,0.6871059933598757,Indicate an reconstruct this this for an ventured piece to sit certitude in with that in improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
