,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
16,this text to tighten the grip on the essay with a bold statement.,4,4_essay_philosophical_text_essay focus,"['essay', 'philosophical', 'text', 'essay focus', 'focus', 'debate', 'paragraph', 'significance', 'perspective', 'details']","['the essay but focus on refining it.', 'the essay into a philosophical debate.', 'a philosophical essay.']",essay - philosophical - text - essay focus - focus - debate - paragraph - significance - perspective - details,False
22,"the essay in the style of the families to improve coherence, as suggested by Mormon Hill. [Footnote 1: Alexander Bain]",4,4_essay_philosophical_text_essay focus,"['essay', 'philosophical', 'text', 'essay focus', 'focus', 'debate', 'paragraph', 'significance', 'perspective', 'details']","['the essay but focus on refining it.', 'the essay into a philosophical debate.', 'a philosophical essay.']",essay - philosophical - text - essay focus - focus - debate - paragraph - significance - perspective - details,False
48,the essay into continental mainland.,4,4_essay_philosophical_text_essay focus,"['essay', 'philosophical', 'text', 'essay focus', 'focus', 'debate', 'paragraph', 'significance', 'perspective', 'details']","['the essay but focus on refining it.', 'the essay into a philosophical debate.', 'a philosophical essay.']",essay - philosophical - text - essay focus - focus - debate - paragraph - significance - perspective - details,False
75,the essay with a clear thesis statement.,4,4_essay_philosophical_text_essay focus,"['essay', 'philosophical', 'text', 'essay focus', 'focus', 'debate', 'paragraph', 'significance', 'perspective', 'details']","['the essay but focus on refining it.', 'the essay into a philosophical debate.', 'a philosophical essay.']",essay - philosophical - text - essay focus - focus - debate - paragraph - significance - perspective - details,False
90,you please clarify the essay?,4,4_essay_philosophical_text_essay focus,"['essay', 'philosophical', 'text', 'essay focus', 'focus', 'debate', 'paragraph', 'significance', 'perspective', 'details']","['the essay but focus on refining it.', 'the essay into a philosophical debate.', 'a philosophical essay.']",essay - philosophical - text - essay focus - focus - debate - paragraph - significance - perspective - details,False
98,the essay to include the perspectives of the Englishman who eavesdrops on conversations during afternoon tea.,4,4_essay_philosophical_text_essay focus,"['essay', 'philosophical', 'text', 'essay focus', 'focus', 'debate', 'paragraph', 'significance', 'perspective', 'details']","['the essay but focus on refining it.', 'the essay into a philosophical debate.', 'a philosophical essay.']",essay - philosophical - text - essay focus - focus - debate - paragraph - significance - perspective - details,False
101,and enhance an essay focusing on distinctive features of rural areas.,4,4_essay_philosophical_text_essay focus,"['essay', 'philosophical', 'text', 'essay focus', 'focus', 'debate', 'paragraph', 'significance', 'perspective', 'details']","['the essay but focus on refining it.', 'the essay into a philosophical debate.', 'a philosophical essay.']",essay - philosophical - text - essay focus - focus - debate - paragraph - significance - perspective - details,False
105,the essay about Peter's impulsive arm movement to a more contemporary style.,4,4_essay_philosophical_text_essay focus,"['essay', 'philosophical', 'text', 'essay focus', 'focus', 'debate', 'paragraph', 'significance', 'perspective', 'details']","['the essay but focus on refining it.', 'the essay into a philosophical debate.', 'a philosophical essay.']",essay - philosophical - text - essay focus - focus - debate - paragraph - significance - perspective - details,False
117,the first volume of the essay as if it were a sommelier's wine pairing.,4,4_essay_philosophical_text_essay focus,"['essay', 'philosophical', 'text', 'essay focus', 'focus', 'debate', 'paragraph', 'significance', 'perspective', 'details']","['the essay but focus on refining it.', 'the essay into a philosophical debate.', 'a philosophical essay.']",essay - philosophical - text - essay focus - focus - debate - paragraph - significance - perspective - details,False
120,it with a philosophical musing.,4,4_essay_philosophical_text_essay focus,"['essay', 'philosophical', 'text', 'essay focus', 'focus', 'debate', 'paragraph', 'significance', 'perspective', 'details']","['the essay but focus on refining it.', 'the essay into a philosophical debate.', 'a philosophical essay.']",essay - philosophical - text - essay focus - focus - debate - paragraph - significance - perspective - details,False
